logits,hallucination_scores
[ 2.4119408  -3.1993792  -0.57837343],0.14691065
[-2.2048454  2.4370968 -1.744276 ],0.07880535
[-1.7622595 -1.560796   2.7192686],0.07890599
[ 0.57374465  0.9881573  -3.7323864 ],0.7178658
[ 0.6989516  1.3232583 -3.762455 ],0.6544901
[-0.58538735  0.47716087 -1.9062837 ],0.62353724
[ 0.16445643  0.2263448  -1.3240664 ],0.91692305
[-0.74434114  1.6125296  -1.5102649 ],0.30570322
[-1.7405204  0.7026683  0.4323671],0.81906474
[ 2.6000562 -2.8045857 -1.8767431],0.05400486
[ 0.61428016  0.48550972 -3.9073892 ],0.7969611
[-0.63659704 -3.9783423   4.259519  ],0.028304221
[ 0.8477188 -1.6154447 -2.0993617],0.30231822
[-2.896518   2.0148351 -0.9886204],0.15517902
[-0.01123164 -2.820033    0.59345186],0.69192386
[ 0.7990912   0.12141737 -1.82297   ],0.70662296
[ 0.27315205  0.841612   -1.625306  ],0.74348223
[-2.3383572 -0.7801943  2.9198754],0.09223203
[ 0.8519797  -1.5031115  -0.48385596],0.5604423
[ 0.5426528   0.90601563 -1.6231908 ],0.79193115
[-0.6586253 -3.2392478  4.428968 ],0.02492591
[ 2.369128  -0.5020598 -1.6707991],0.19233073
[ 0.18636833  1.8078607  -1.4740889 ],0.4347288
[ 0.48998994  0.8104851  -2.2357728 ],0.7803656
[-0.05964004 -3.4420364   2.3267152 ],0.22527832
[ 0.26191628  0.7637743  -1.7959329 ],0.75540686
[-3.4187992 -1.4909762  4.476541 ],0.012063148
[ 0.58118135  1.6677598  -3.1558053 ],0.525878
[-1.3037921  2.3335378 -2.1205997],0.11239099
[-2.5520067 -2.0923274  3.5479283],0.022261726
[ 1.3890154 -1.059578  -1.9746735],0.2775473
[-1.8153107  2.729709  -1.8700942],0.06654093
[-2.61097   -1.6790767  3.5702074],0.027520133
[ 0.0948435 -0.6333394 -1.4147308],0.7738694
[-1.2342389  1.3476882 -2.4704764],0.23688532
[-2.5202417  -0.90223825  2.1130824 ],0.1596036
[ 2.7764683 -2.9550455 -1.6188664],0.05314604
[-0.7318696  1.423747  -2.0634618],0.31792152
[-2.697074  -1.7322124  3.05265  ],0.041018173
[ 1.0286127 -1.4941099 -2.1768267],0.27641237
[-1.891046    0.7869295  -0.12857072],0.6415132
[ 0.6431047 -3.0213969  0.9749707],0.7514595
[ 3.0706048 -2.881475  -0.5266421],0.09147229
[ 0.14677125  1.0260181  -1.9480113 ],0.6351967
[-2.3351057 -2.0814545  3.7133732],0.020831117
[-0.632312    0.40699258 -1.8760265 ],0.63665795
[-1.7540739  2.8099062 -3.5042946],0.042985205
[-2.5754333 -1.527409   3.7806208],0.02541712
[ 1.9576035 -1.253064  -1.666215 ],0.1761033
[-0.61963624  2.3339226  -2.1944594 ],0.16862856
[ 0.8052867 -5.286245   4.089602 ],0.107026964
[ 1.177943   2.133803  -3.2805789],0.5562613
[ 0.03203385  0.5855775  -0.18923078],0.8702388
[-3.086928   1.1320207  2.5550563],0.4272751
[ 3.2049637 -3.1091082 -0.947095 ],0.058343403
[ 1.5095292   0.80167043 -2.911343  ],0.63899255
[-1.5713295 -2.365941   4.309082 ],0.01624323
[ 3.2057047 -1.7018706 -2.371773 ],0.039793067
[-1.5721157  2.0743117 -0.7750873],0.21113342
[-2.1897857 -5.285901   7.391457 ],0.00013835129
[ 0.77638626 -1.1507258  -1.0664084 ],0.49782485
[-2.4287276  2.110311  -1.0033054],0.15200329
[-2.6346877   1.1395452   0.63353866],0.70879626
[ 2.8348746 -1.7865433 -1.6237786],0.06881274
[-2.1347003   1.0747426   0.93540734],0.8204076
[-3.0519655   0.46304262  1.4718586 ],0.552096
[ 1.5189215 -2.017215  -1.4093394],0.2079616
[-2.2619705  1.9641036 -1.3040727],0.146768
[-0.965981  -4.5273027  3.6293569],0.03653334
[ 2.9163172 -2.0815191 -1.8181443],0.052510194
[ 0.04389542  0.27056322 -1.7589924 ],0.8520441
[-0.0500962  0.9398557 -1.8176806],0.61762345
[-0.7631338 -0.7254268 -0.7245714],1.0
[-1.7760549   0.33740193 -1.4821187 ],0.48202604
[-1.7076387   0.47565722  0.07514644],0.80196536
